代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),买量(手),卖量(手),流通市值(元),总市值(元)
400144,猛狮3,0.23,0.23,0.23,0.23,25382,5837.86,4.55,51441,0,109759500,130496109
400145,网力3,0.16,0.16,0.16,0.16,9663,1546.08,0.0,8223,18694,191011140,191323603
400146,聚龙5,0.35,0.35,0.35,0.35,2078,727.3,0.0,3716,8794,134266465,192326400
400147,当代3,0.35,0.35,0.35,0.35,48675,17036.25,-2.78,0,20766,349306193,451361438
400148,R邦讯1,0.08,0.08,0.08,0.08,24043,1923.44,0.0,21765,9143,25360200,25603200
400149,金泰5,0.58,0.58,0.58,0.58,720,417.6,0.0,15335,331,85902146,85902146
400150,R同济堂1,0.10,0.10,0.10,0.10,34187,3418.7,0.0,16088,32184,138961881,143966294
400151,天首5,0.99,0.99,0.99,0.99,97,96.03,0.0,364,536,318542644,318603802
400152,R成城1,0.11,0.11,0.11,0.11,2197,241.67,-8.33,81,4645,37008576,37008576
400153,海创A3,0.30,0.30,0.30,0.30,3612,1083.6,0.0,1665,6454,292046625,391050000
400154,R北讯1,0.07,0.07,0.07,0.07,11483,803.81,0.0,12742,49871,59578700,76103423
400155,R海医1,0.82,0.82,0.82,0.82,3711,3043.02,3.8,7878,0,834488044,834537244
400156,R斯太1,0.06,0.06,0.06,0.06,9771,586.26,0.0,22909,56517,33557962,46310678
400157,R长影1,0.08,0.08,0.08,0.08,16577,1326.16,0.0,4601,12330,42032148,42034390
400160,荣华3,0.27,0.27,0.27,0.27,2287,617.49,0.0,3239,6670,179708355,179712000
400161,金洲3,0.12,0.12,0.12,0.12,27148,3257.76,9.09,49232,60412,199915784,254849920
400163,计通5,1.67,1.67,1.67,1.67,1994,3329.98,2.45,980,2147,280484147,280560000
400164,R吉艾1,0.06,0.06,0.06,0.06,18762,1125.72,0.0,8498,56249,46120221,53167426
400165,蓝光3,0.06,0.06,0.06,0.06,31989,1919.34,0.0,414097,266514,181726942,182095826
400166,宜康3,0.11,0.11,0.11,0.11,2909,319.99,0.0,6282,46729,88658927,96546731
400167,未来3,0.14,0.14,0.14,0.14,5667,793.38,0.0,43814,13279,47523408,72249201
400169,江科宏3,0.18,0.18,0.18,0.18,2998,539.64,-5.26,8028,18717,208486503,208486503
400170,运盛5,0.33,0.33,0.33,0.33,1005,331.65,0.0,7,2383,76198060,112533360
400171,R庞大1,0.13,0.13,0.13,0.13,106550,13851.5,-7.14,237416,143720,1023347358,1329539259
400172,R中昌1,0.10,0.10,0.10,0.10,5318,531.8,0.0,6015,12752,41255354,45666512
400173,银河3,0.32,0.32,0.32,0.32,11490,3676.8,3.23,8308,0,268132806,351971764
400175,R和佳1,0.20,0.20,0.20,0.20,24056,4811.2,5.26,53895,0,157929692,157966187
400176,奇信3,0.16,0.16,0.16,0.16,4932,789.12,0.0,7746,16773,24253752,36000000
400177,阳竹5,1.80,1.80,1.80,1.80,2979,5362.2,1.69,235,4102,486491040,486491040
400179,顺利3,0.14,0.14,0.14,0.14,22211,3109.54,-6.67,0,72845,107211909,107211909
400180,R新文化1,0.07,0.07,0.07,0.07,36190,2533.3,-12.5,0,83970,53795370,56436113
400181,R紫晶1,0.18,0.18,0.18,0.18,2282,410.76,-5.26,0,11838,23761147,34268671
400183,R泽达1,0.37,0.37,0.37,0.37,1454,537.98,-2.63,385,93,13939047,30750700
400184,R必康1,0.63,0.63,0.63,0.63,25609,16133.67,-4.55,0,91160,578356712,965338863
400185,R中潜1,0.15,0.15,0.15,0.15,1291,193.65,0.0,2285,8087,28683089,30637345
400186,美置3,0.07,0.07,0.07,0.07,18308,1281.56,0.0,63673,108855,169246036,171089648
400188,R易尚1,0.20,0.20,0.20,0.20,612,122.4,-4.76,0,1302,23804356,30905923
400189,广文城3,0.09,0.09,0.09,0.09,6028,542.52,0.0,19193,34484,28720099,43295118
400190,R深大通1,0.34,0.34,0.34,0.34,204,69.36,-2.86,0,189403,59021442,177744322
